Format,RaceBox CSV,,,,,,,,,,,
Data Source,RaceBox 2231805086,,,,,,,,,,,
Date UTC,2025-10-22T19:27:56+00:00,,,,,,,,,,,
Date,22/10/2025,,,,,,,,,,,
Time,7/27/1956,,,,,,,,,,,
Session Index,1,,,,,,,,,,,
Session Type,Track,,,,,,,,,,,
Track,No Track,,,,,,,,,,,
Configuration,,,,,,,,,,,,
Laps,0,,,,,,,,,,,
Best Lap Time,207.68,,,,,,,,,,,
,,,,,,,,,,,,
Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
200,2025-10-22T19:28:03.960Z,36.1403946,-86.7335193,547.8,18.66,-0.925,-0.654,-0.355,0,0.35,-3.09,-33.74
201,2025-10-22T19:28:04.000Z,36.140392,-86.7335212,547.8,18.54,-0.953,-0.682,-0.382,0,0.66,-2.84,-35.32
202,2025-10-22T19:28:04.040Z,36.1403895,-86.7335231,547.8,18.37,-0.929,-0.721,-0.352,0,0.72,-2.18,-37.23
203,2025-10-22T19:28:04.080Z,36.1403872,-86.7335252,547.8,18.39,-1,-0.772,-0.376,0,0.65,-1.43,-39.61
204,2025-10-22T19:28:04.120Z,36.1403848,-86.7335276,547.8,18.31,-1.01,-0.836,-0.406,0,0.59,-0.83,-42.43
205,2025-10-22T19:28:04.160Z,36.1403826,-86.7335298,547.8,18.16,-0.963,-0.88,-0.4,0,0.76,-0.33,-45.2
206,2025-10-22T19:28:04.200Z,36.1403805,-86.7335322,547.8,17.98,-0.924,-0.899,-0.364,0,0.98,-0.21,-47.51
207,2025-10-22T19:28:04.240Z,36.1403785,-86.7335347,547.7,18,-0.877,-0.889,-0.327,0,1.59,-0.53,-49.23
208,2025-10-22T19:28:04.280Z,36.1403765,-86.7335374,547.7,17.75,-0.832,-0.832,-0.281,0,2.26,-1.49,-50.21
209,2025-10-22T19:28:04.320Z,36.1403746,-86.73354,547.8,17.52,-0.863,-0.779,-0.258,0,1.97,-2.85,-50.46
210,2025-10-22T19:28:04.360Z,36.1403728,-86.7335427,547.8,17.34,-0.942,-0.725,-0.306,0,1.81,-4.95,-50.47
211,2025-10-22T19:28:04.400Z,36.1403711,-86.7335453,547.8,17.09,-1.018,-0.671,-0.402,0,1.35,-6.75,-49.92
212,2025-10-22T19:28:04.440Z,36.1403695,-86.733548,547.8,17.08,-1.075,-0.661,-0.49,0,1.05,-7.68,-49.28
213,2025-10-22T19:28:04.480Z,36.140368,-86.7335508,547.8,17.26,-1.09,-0.679,-0.569,0,1.04,-7.62,-48.55
214,2025-10-22T19:28:04.520Z,36.1403664,-86.7335538,547.8,17.42,-1.052,-0.649,-0.611,0,1.07,-6.75,-47.85
215,2025-10-22T19:28:04.560Z,36.140365,-86.7335568,547.8,17.34,-1.02,-0.651,-0.638,0,0.79,-4.51,-47.08
216,2025-10-22T19:28:04.600Z,36.1403637,-86.7335597,547.8,17.17,-0.979,-0.66,-0.625,0,0.76,-2.52,-46.69
217,2025-10-22T19:28:04.640Z,36.1403623,-86.7335629,547.8,17.04,-0.943,-0.649,-0.588,0,0.33,-1.44,-46.41
218,2025-10-22T19:28:04.680Z,36.1403611,-86.7335659,547.9,16.89,-0.902,-0.647,-0.566,0,-0.05,-0.98,-46.39
219,2025-10-22T19:28:04.720Z,36.1403601,-86.733569,547.8,16.96,-0.845,-0.672,-0.527,0,-0.22,-0.85,-46.21
220,2025-10-22T19:28:04.760Z,36.140359,-86.7335721,547.8,17.4,-0.814,-0.69,-0.504,0,-0.63,-1.13,-45.95
221,2025-10-22T19:28:04.800Z,36.1403578,-86.7335755,547.8,17.85,-0.778,-0.688,-0.524,0,-1,-0.87,-45.7
222,2025-10-22T19:28:04.840Z,36.1403568,-86.733579,547.8,17.92,-0.745,-0.71,-0.554,0,-1.36,-0.57,-45.38
223,2025-10-22T19:28:04.880Z,36.140356,-86.7335824,547.8,17.73,-0.693,-0.708,-0.554,0,-1.73,-0.79,-44.93
224,2025-10-22T19:28:04.920Z,36.1403554,-86.7335857,547.8,17.48,-0.647,-0.701,-0.547,0,-1.89,-0.66,-44.38
225,2025-10-22T19:28:04.960Z,36.1403547,-86.7335891,547.8,17.36,-0.634,-0.689,-0.529,0,-1.43,-1.19,-43.71
226,2025-10-22T19:28:05.000Z,36.1403542,-86.7335925,547.8,17.32,-0.645,-0.689,-0.47,0,-1.43,-1.74,-42.95
227,2025-10-22T19:28:05.040Z,36.1403536,-86.733596,547.8,17.38,-0.658,-0.675,-0.419,0,-1.19,-2.44,-42.39
228,2025-10-22T19:28:05.080Z,36.1403531,-86.7335994,547.8,17.57,-0.724,-0.673,-0.406,0,-1.06,-2.78,-42.06
229,2025-10-22T19:28:05.120Z,36.1403528,-86.733603,547.8,17.66,-0.807,-0.673,-0.461,0,-0.79,-3.45,-42.06
230,2025-10-22T19:28:05.160Z,36.1403524,-86.7336064,547.8,17.6,-0.843,-0.672,-0.518,0,-0.42,-3.27,-42.39
231,2025-10-22T19:28:05.200Z,36.1403524,-86.7336099,547.8,17.28,-0.873,-0.67,-0.613,0,-0.18,-3.49,-42.81
232,2025-10-22T19:28:05.240Z,36.1403524,-86.7336133,547.8,17.34,-0.884,-0.673,-0.684,0,0.07,-2.77,-43.24
233,2025-10-22T19:28:05.280Z,36.1403524,-86.7336169,547.8,17.52,-0.873,-0.698,-0.713,0,0.15,-1.72,-43.68
234,2025-10-22T19:28:05.320Z,36.1403524,-86.7336204,547.8,17.6,-0.844,-0.72,-0.689,0,0.18,-1.1,-44.16
235,2025-10-22T19:28:05.360Z,36.1403527,-86.733624,547.8,17.65,-0.857,-0.739,-0.689,0,-0.02,-1.33,-44.74
236,2025-10-22T19:28:05.400Z,36.140353,-86.7336276,547.9,17.55,-0.82,-0.757,-0.656,0,-0.25,-0.99,-45.33
237,2025-10-22T19:28:05.440Z,36.1403535,-86.733631,547.8,17.5,-0.771,-0.786,-0.607,0,-0.59,-0.71,-45.97
238,2025-10-22T19:28:05.480Z,36.1403538,-86.7336344,547.8,17.36,-0.702,-0.802,-0.552,0,-0.68,-0.66,-46.82
239,2025-10-22T19:28:05.520Z,36.1403546,-86.7336379,547.8,17.51,-0.677,-0.821,-0.5,0,-0.76,0.07,-47.86
240,2025-10-22T19:28:05.560Z,36.1403554,-86.7336413,547.8,17.44,-0.635,-0.833,-0.44,0,-0.74,0.09,-48.81
241,2025-10-22T19:28:05.600Z,36.1403561,-86.7336446,547.8,17.39,-0.62,-0.839,-0.396,0,-0.79,-0.1,-49.78
242,2025-10-22T19:28:05.640Z,36.1403571,-86.733648,547.8,17.47,-0.659,-0.855,-0.409,0,-0.63,-1.08,-50.67
243,2025-10-22T19:28:05.680Z,36.140358,-86.7336513,547.8,17.62,-0.726,-0.871,-0.481,0,-0.48,-1.81,-51.5
244,2025-10-22T19:28:05.720Z,36.1403592,-86.7336545,547.8,17.65,-0.757,-0.871,-0.579,0,-0.29,-2.92,-52.39
245,2025-10-22T19:28:05.760Z,36.1403606,-86.7336578,547.8,17.56,-0.777,-0.886,-0.641,0,0.14,-3.32,-53.13
246,2025-10-22T19:28:05.800Z,36.1403619,-86.7336609,547.8,17.68,-0.808,-0.89,-0.68,0,0.58,-3.2,-53.73
247,2025-10-22T19:28:05.840Z,36.1403632,-86.733664,547.8,17.81,-0.832,-0.881,-0.693,0,0.89,-2.31,-54.37
248,2025-10-22T19:28:05.880Z,36.1403649,-86.7336671,547.7,17.87,-0.791,-0.89,-0.607,0,1.18,-1.39,-54.93
249,2025-10-22T19:28:05.920Z,36.1403666,-86.73367,547.7,17.88,-0.8,-0.911,-0.514,0,0.84,-0.79,-55.73
250,2025-10-22T19:28:05.960Z,36.1403682,-86.7336728,547.8,17.94,-0.798,-0.906,-0.451,0,0.61,-0.12,-56.63
251,2025-10-22T19:28:06.000Z,36.1403701,-86.7336755,547.8,18.03,-0.82,-0.883,-0.427,0,0.46,-0.18,-57.23
252,2025-10-22T19:28:06.040Z,36.1403722,-86.7336784,547.8,18.15,-0.873,-0.877,-0.44,0,-0.21,-0.02,-57.52
253,2025-10-22T19:28:06.080Z,36.1403741,-86.733681,547.7,18.15,-0.97,-0.886,-0.493,0,-0.52,0.88,-58.07
254,2025-10-22T19:28:06.120Z,36.1403762,-86.7336834,547.7,18.05,-0.981,-0.929,-0.49,0,-1.08,2,-58.83
255,2025-10-22T19:28:06.160Z,36.1403785,-86.7336858,547.7,17.92,-0.96,-1.016,-0.445,0,-1.69,2.81,-60.52
256,2025-10-22T19:28:06.200Z,36.1403809,-86.7336879,547.7,17.94,-0.91,-1.06,-0.386,0,-1.39,2.71,-62.99
257,2025-10-22T19:28:06.240Z,36.1403833,-86.7336897,547.7,17.88,-0.854,-1.071,-0.311,0,-1.11,1.9,-65.41
258,2025-10-22T19:28:06.280Z,36.1403857,-86.7336916,547.6,17.71,-0.841,-1.053,-0.302,0,-0.82,0.21,-67.25
259,2025-10-22T19:28:06.320Z,36.1403882,-86.7336934,547.6,17.75,-0.897,-0.987,-0.354,0,-0.14,-1.33,-67.89
260,2025-10-22T19:28:06.360Z,36.1403907,-86.7336951,547.6,17.75,-0.964,-0.903,-0.434,0,0.33,-3.03,-66.54
261,2025-10-22T19:28:06.400Z,36.1403934,-86.7336966,547.6,17.73,-1.009,-0.834,-0.519,0,0.7,-3.8,-63.51
262,2025-10-22T19:28:06.440Z,36.140396,-86.7336982,547.6,17.77,-1.017,-0.778,-0.597,0,1.41,-4.43,-59.45
263,2025-10-22T19:28:06.480Z,36.1403985,-86.7336995,547.6,17.89,-0.971,-0.737,-0.617,0,1.69,-4.26,-54.87
264,2025-10-22T19:28:06.520Z,36.1404014,-86.7337009,547.5,18.05,-0.873,-0.708,-0.586,0,1.8,-4.09,-50.65
265,2025-10-22T19:28:06.560Z,36.140404,-86.7337021,547.5,18.09,-0.849,-0.683,-0.576,0,2.01,-3.12,-47.4
266,2025-10-22T19:28:06.600Z,36.1404069,-86.7337032,547.5,17.98,-0.823,-0.668,-0.528,0,1.84,-1.53,-45.1
267,2025-10-22T19:28:06.640Z,36.1404095,-86.7337042,547.5,17.95,-0.848,-0.64,-0.506,0,1.35,-0.56,-43.76
268,2025-10-22T19:28:06.680Z,36.1404124,-86.7337052,547.4,17.97,-0.897,-0.637,-0.487,0,0.68,0,-43.08
269,2025-10-22T19:28:06.720Z,36.1404153,-86.7337062,547.4,18.05,-0.948,-0.648,-0.484,0,0.08,-0.03,-42.86
270,2025-10-22T19:28:06.760Z,36.1404181,-86.7337069,547.4,18.2,-0.958,-0.663,-0.475,0,-0.55,-1.55,-43.04
271,2025-10-22T19:28:06.800Z,36.140421,-86.7337074,547.4,18.36,-0.938,-0.708,-0.44,0,-0.66,-3.35,-43.37
272,2025-10-22T19:28:06.840Z,36.140424,-86.7337079,547.4,18.38,-0.926,-0.722,-0.398,0,-1.01,-4.63,-43.71
273,2025-10-22T19:28:06.880Z,36.140427,-86.7337085,547.4,18.49,-0.936,-0.725,-0.396,0,-1.54,-5.62,-44.06
274,2025-10-22T19:28:06.920Z,36.1404301,-86.7337088,547.4,18.88,-0.912,-0.748,-0.397,0,-1.81,-5.58,-44.31
275,2025-10-22T19:28:06.960Z,36.1404331,-86.733709,547.4,19.17,-0.834,-0.763,-0.336,0,-1.68,-4.41,-44.54
276,2025-10-22T19:28:07.000Z,36.1404362,-86.733709,547.4,19.35,-0.856,-0.751,-0.379,0,-1.58,-3.28,-44.69
277,2025-10-22T19:28:07.040Z,36.1404393,-86.733709,547.4,19.31,-0.791,-0.765,-0.341,0,-1.14,-2.02,-44.85
278,2025-10-22T19:28:07.080Z,36.1404424,-86.733709,547.4,19.28,-0.735,-0.79,-0.282,0,-1.06,-0.48,-45.14
279,2025-10-22T19:28:07.120Z,36.1404456,-86.7337086,547.4,19.39,-0.756,-0.839,-0.27,0,-1.2,1.09,-45.83
280,2025-10-22T19:28:07.160Z,36.1404488,-86.7337083,547.3,19.51,-0.77,-0.906,-0.22,0,-1.05,2.02,-47.58
281,2025-10-22T19:28:07.200Z,36.1404519,-86.7337074,547.4,19.51,-0.815,-0.988,-0.161,0,-1,1.77,-50.28
282,2025-10-22T19:28:07.240Z,36.1404547,-86.7337064,547.4,19.36,-0.894,-1.037,-0.187,0,-0.54,0.5,-53.41
283,2025-10-22T19:28:07.280Z,36.1404577,-86.7337055,547.4,19.26,-0.937,-1.038,-0.203,0,0.08,-1.13,-56.36
284,2025-10-22T19:28:07.320Z,36.1404606,-86.7337044,547.4,19.16,-0.965,-1.012,-0.248,0,0.21,-3.45,-58.61
285,2025-10-22T19:28:07.360Z,36.1404635,-86.7337032,547.3,19.02,-1.001,-0.998,-0.359,0,0.04,-4.49,-59.69
286,2025-10-22T19:28:07.400Z,36.1404664,-86.7337019,547.4,18.94,-0.989,-1.019,-0.425,0,-0.57,-4.49,-60.7
287,2025-10-22T19:28:07.440Z,36.140469,-86.7337003,547.4,18.71,-1.005,-1.048,-0.484,0,-0.8,-4.52,-62.19
288,2025-10-22T19:28:07.480Z,36.1404714,-86.7336984,547.5,18.49,-1.057,-1.055,-0.556,0,-0.8,-4.75,-64.03
289,2025-10-22T19:28:07.520Z,36.1404739,-86.7336965,547.5,18.27,-1.074,-1.069,-0.586,0,-0.76,-4.51,-66.04
290,2025-10-22T19:28:07.560Z,36.1404763,-86.7336946,547.5,18.05,-1.067,-1.045,-0.591,0,-0.5,-4.3,-67.99
291,2025-10-22T19:28:07.600Z,36.1404787,-86.7336926,547.4,17.86,-1.03,-1.026,-0.581,0,-0.72,-3.67,-69.3
292,2025-10-22T19:28:07.640Z,36.1404809,-86.7336904,547.4,17.69,-0.943,-1.035,-0.544,0,-0.91,-2.88,-70.27
293,2025-10-22T19:28:07.680Z,36.1404828,-86.7336881,547.5,17.37,-0.807,-1.06,-0.474,0,-1.25,-2.22,-71.27
294,2025-10-22T19:28:07.720Z,36.1404846,-86.7336857,547.7,17.34,-0.657,-1.073,-0.362,0,-0.9,-1.71,-72.4
295,2025-10-22T19:28:07.760Z,36.1404864,-86.733683,547.7,17.19,-0.52,-1.071,-0.223,0,-0.77,-1.57,-73.47
296,2025-10-22T19:28:07.800Z,36.1404882,-86.7336806,547.6,16.87,-0.392,-1.057,-0.065,0,-0.41,-1.99,-74.39
297,2025-10-22T19:28:07.840Z,36.1404897,-86.733678,547.7,16.6,-0.279,-0.977,0.079,0,-0.11,-2.23,-74.38
298,2025-10-22T19:28:07.880Z,36.1404912,-86.7336753,547.7,16.54,-0.196,-0.854,0.163,0,0.29,-2.17,-72.42
299,2025-10-22T19:28:07.920Z,36.1404927,-86.7336727,547.8,16.42,-0.177,-0.692,0.117,0,0.62,-2.06,-67.02
300,2025-10-22T19:28:07.960Z,36.1404942,-86.7336701,547.8,16.3,-0.199,-0.518,0.012,0,1.05,-2.15,-58.78
301,2025-10-22T19:28:08.000Z,36.1404957,-86.7336674,547.8,16.29,-0.309,-0.359,-0.17,0,1.54,-2.32,-48.12
302,2025-10-22T19:28:08.040Z,36.1404971,-86.7336648,547.8,16.32,-0.422,-0.261,-0.348,0,1.92,-2.4,-36.45
303,2025-10-22T19:28:08.080Z,36.1404986,-86.7336622,547.9,16.34,-0.565,-0.202,-0.512,0,2.19,-2.63,-25.64
304,2025-10-22T19:28:08.120Z,36.1405002,-86.7336594,547.9,16.72,-0.621,-0.167,-0.518,0,2.33,-2.61,-17.53
305,2025-10-22T19:28:08.160Z,36.1405018,-86.7336565,547.9,17.2,-0.58,-0.135,-0.402,0,2.15,-2.3,-12
306,2025-10-22T19:28:08.200Z,36.1405032,-86.7336538,548,17.15,-0.435,-0.09,-0.152,0,2.06,-1.47,-8.75
307,2025-10-22T19:28:08.240Z,36.1405049,-86.733651,548,16.85,-0.319,-0.021,0.094,0,2.01,-0.48,-6.56
308,2025-10-22T19:28:08.280Z,36.1405063,-86.7336483,548,16.65,-0.213,0.057,0.301,0,2.26,0.55,-4.57
309,2025-10-22T19:28:08.320Z,36.1405079,-86.7336457,548,16.61,-0.135,0.143,0.36,0,2.73,1.12,-1.86
310,2025-10-22T19:28:08.360Z,36.1405095,-86.7336431,548.1,16.66,-0.148,0.246,0.26,0,3.45,2.1,1.86
311,2025-10-22T19:28:08.400Z,36.1405112,-86.7336406,548.2,16.67,-0.259,0.387,0.017,0,4.07,2.94,6.98
312,2025-10-22T19:28:08.440Z,36.1405131,-86.7336382,548.2,16.69,-0.388,0.543,-0.257,0,4.52,3.39,13.87
313,2025-10-22T19:28:08.480Z,36.1405152,-86.7336361,548.1,16.54,-0.51,0.665,-0.457,0,4.73,3.65,21.62
314,2025-10-22T19:28:08.520Z,36.1405172,-86.733634,548.2,16.5,-0.68,0.782,-0.609,0,4.19,4.06,29.48
315,2025-10-22T19:28:08.560Z,36.1405195,-86.733632,548.2,16.69,-0.776,0.854,-0.674,0,3.53,3.92,36.82
316,2025-10-22T19:28:08.600Z,36.1405216,-86.7336301,548.2,16.76,-0.816,0.882,-0.632,0,2.52,3.32,43.26
317,2025-10-22T19:28:08.640Z,36.1405239,-86.7336282,548.2,16.74,-0.891,0.909,-0.618,0,1.39,3.08,48.18
318,2025-10-22T19:28:08.680Z,36.1405263,-86.7336265,548.2,16.94,-0.896,0.914,-0.601,0,0.3,3.04,52.35
319,2025-10-22T19:28:08.720Z,36.1405288,-86.7336249,548.3,17.19,-0.833,0.881,-0.526,0,-0.51,2.56,55.83
320,2025-10-22T19:28:08.760Z,36.1405316,-86.7336235,548.3,17.45,-0.854,0.836,-0.51,0,-1.07,2.3,58.4
321,2025-10-22T19:28:08.800Z,36.1405341,-86.7336222,548.3,17.58,-0.848,0.788,-0.516,0,-1.02,2.94,59.8
322,2025-10-22T19:28:08.840Z,36.1405368,-86.733621,548.2,17.7,-0.789,0.755,-0.485,0,-0.84,3.58,60.49
323,2025-10-22T19:28:08.880Z,36.1405395,-86.7336198,548.2,17.68,-0.84,0.757,-0.533,0,-0.82,4.16,60.57
324,2025-10-22T19:28:08.920Z,36.1405423,-86.7336187,548.2,17.61,-0.862,0.761,-0.576,0,-0.66,5.31,60.21
325,2025-10-22T19:28:08.960Z,36.140545,-86.7336179,548.3,17.57,-0.882,0.746,-0.594,0,-1.12,5.63,59.62
326,2025-10-22T19:28:09.000Z,36.140548,-86.7336172,548.3,17.72,-0.894,0.703,-0.62,0,-1.24,5.43,58.71
327,2025-10-22T19:28:09.040Z,36.1405508,-86.7336165,548.3,17.99,-0.861,0.596,-0.593,0,-1.51,5.48,56.86
328,2025-10-22T19:28:09.080Z,36.1405537,-86.7336157,548.3,18.2,-0.791,0.483,-0.542,0,-1.43,5.24,53.92
329,2025-10-22T19:28:09.120Z,36.1405567,-86.7336151,548.3,18.45,-0.753,0.382,-0.533,0,-1.39,5.06,49.9
330,2025-10-22T19:28:09.160Z,36.1405597,-86.7336143,548.3,18.79,-0.683,0.284,-0.513,0,-1.27,5.41,44.75
331,2025-10-22T19:28:09.200Z,36.1405627,-86.7336138,548.4,19.08,-0.634,0.213,-0.474,0,-1.58,5.37,38.79
332,2025-10-22T19:28:09.240Z,36.1405657,-86.7336131,548.5,19.2,-0.685,0.153,-0.515,0,-2.08,5.05,32.62
333,2025-10-22T19:28:09.280Z,36.1405688,-86.7336124,548.5,19.26,-0.675,0.051,-0.51,0,-2.61,5.03,25.93
334,2025-10-22T19:28:09.320Z,36.1405719,-86.7336117,548.5,19.46,-0.684,-0.081,-0.502,0,-3.16,4.7,19.22
335,2025-10-22T19:28:09.360Z,36.140575,-86.7336108,548.5,19.76,-0.701,-0.208,-0.493,0,-3.66,4.64,12.47
336,2025-10-22T19:28:09.400Z,36.1405781,-86.73361,548.4,20.04,-0.714,-0.367,-0.484,0,-4.17,4.68,5.48
337,2025-10-22T19:28:09.440Z,36.1405812,-86.7336088,548.5,20.23,-0.703,-0.526,-0.436,0,-4.23,4.26,-1.9
338,2025-10-22T19:28:09.480Z,36.1405843,-86.7336076,548.5,20.32,-0.715,-0.653,-0.425,0,-3.92,3.57,-9.62
339,2025-10-22T19:28:09.520Z,36.1405873,-86.7336062,548.6,20.37,-0.731,-0.73,-0.429,0,-3.21,2.3,-16.92
340,2025-10-22T19:28:09.560Z,36.1405903,-86.7336047,548.6,20.4,-0.698,-0.782,-0.445,0,-2.33,1.15,-23.21
341,2025-10-22T19:28:09.600Z,36.1405933,-86.7336031,548.7,20.42,-0.722,-0.815,-0.501,0,-1.57,0.31,-28.27
342,2025-10-22T19:28:09.640Z,36.1405962,-86.7336014,548.6,20.42,-0.669,-0.855,-0.508,0,-1.09,0.27,-32.46
343,2025-10-22T19:28:09.680Z,36.1405991,-86.7335997,548.6,20.46,-0.694,-0.904,-0.535,0,-0.72,0.05,-35.99
344,2025-10-22T19:28:09.720Z,36.1406019,-86.7335976,548.7,20.47,-0.668,-0.964,-0.51,0,-0.52,-0.15,-39.71
345,2025-10-22T19:28:09.760Z,36.1406046,-86.7335954,548.8,20.3,-0.695,-1.021,-0.507,0,-0.38,-0.97,-43.99
346,2025-10-22T19:28:09.800Z,36.1406071,-86.733593,548.8,20.16,-0.635,-1.034,-0.497,0,-0.2,-2.03,-48.32
347,2025-10-22T19:28:09.840Z,36.1406096,-86.7335906,548.9,20.05,-0.621,-1.037,-0.534,0,-0.16,-3.29,-51.9
348,2025-10-22T19:28:09.880Z,36.1406121,-86.7335882,548.9,19.96,-0.544,-1.017,-0.561,0,-0.16,-3.89,-54.66
349,2025-10-22T19:28:09.920Z,36.1406144,-86.7335856,548.9,19.88,-0.509,-1.019,-0.596,0,-0.47,-3.58,-56.39
350,2025-10-22T19:28:09.960Z,36.1406167,-86.7335827,549,19.84,-0.537,-1.005,-0.6,0,-0.03,-3.17,-57.15
351,2025-10-22T19:28:10.000Z,36.1406188,-86.7335799,549,19.74,-0.611,-0.967,-0.615,0,0.25,-2.6,-56.86
352,2025-10-22T19:28:10.040Z,36.140621,-86.7335771,549.1,19.56,-0.652,-0.894,-0.528,0,0.92,-2.19,-55.36
353,2025-10-22T19:28:10.080Z,36.1406231,-86.7335742,549.1,19.47,-0.744,-0.779,-0.471,0,1.53,-2.43,-52.27
354,2025-10-22T19:28:10.120Z,36.1406251,-86.7335713,549.1,19.35,-0.795,-0.637,-0.402,0,2.24,-2.48,-47.6
355,2025-10-22T19:28:10.160Z,36.1406271,-86.7335685,549.2,19.17,-0.847,-0.506,-0.375,0,2.1,-2.8,-42.02
356,2025-10-22T19:28:10.200Z,36.1406291,-86.7335656,549.2,19,-0.86,-0.413,-0.327,0,2.07,-3.2,-36.44
357,2025-10-22T19:28:10.240Z,36.140631,-86.7335628,549.3,18.7,-0.929,-0.348,-0.365,0,1.67,-3.37,-31.58
358,2025-10-22T19:28:10.280Z,36.1406328,-86.73356,549.3,18.45,-0.961,-0.337,-0.413,0,1.16,-3,-27.71
359,2025-10-22T19:28:10.320Z,36.1406345,-86.7335571,549.4,18.54,-0.93,-0.312,-0.435,0,1.25,-3.08,-24.86
360,2025-10-22T19:28:10.360Z,36.1406363,-86.7335542,549.4,18.59,-0.819,-0.286,-0.456,0,1.02,-3.4,-22.56
361,2025-10-22T19:28:10.400Z,36.1406381,-86.7335512,549.4,18.56,-0.736,-0.239,-0.496,0,1.19,-3.59,-20.36
362,2025-10-22T19:28:10.440Z,36.1406399,-86.7335483,549.4,18.46,-0.578,-0.181,-0.466,0,1.03,-4.26,-18.01
363,2025-10-22T19:28:10.480Z,36.1406418,-86.7335454,549.5,18.64,-0.46,-0.12,-0.432,0,0.93,-4.96,-15.61
364,2025-10-22T19:28:10.520Z,36.1406436,-86.7335425,549.6,18.77,-0.485,-0.063,-0.423,0,0.76,-5.26,-12.77
365,2025-10-22T19:28:10.560Z,36.1406456,-86.7335395,549.6,18.94,-0.6,0.008,-0.442,0,1.03,-4.72,-9.49
366,2025-10-22T19:28:10.600Z,36.1406474,-86.7335366,549.6,18.87,-0.639,0.094,-0.388,0,1.35,-3.32,-5.61
367,2025-10-22T19:28:10.640Z,36.1406494,-86.7335337,549.7,18.66,-0.779,0.202,-0.403,0,1.68,-1.26,-0.93
368,2025-10-22T19:28:10.680Z,36.1406514,-86.7335311,549.8,18.6,-0.901,0.353,-0.456,0,2.14,0.77,4.67
369,2025-10-22T19:28:10.720Z,36.1406536,-86.7335285,549.8,18.66,-0.893,0.502,-0.472,0,2.41,2.98,11.02
370,2025-10-22T19:28:10.760Z,36.1406557,-86.733526,549.9,18.68,-0.881,0.634,-0.465,0,2.15,4.65,18.45
371,2025-10-22T19:28:10.800Z,36.1406581,-86.7335237,550,18.51,-0.908,0.761,-0.504,0,1.74,5.28,25.82
372,2025-10-22T19:28:10.840Z,36.1406605,-86.7335214,550.1,18.28,-0.885,0.838,-0.522,0,1.37,4.63,32.67
373,2025-10-22T19:28:10.880Z,36.1406629,-86.7335194,550.2,18.11,-0.848,0.863,-0.511,0,0.8,4.36,38.61
374,2025-10-22T19:28:10.920Z,36.1406653,-86.7335175,550.2,17.98,-0.841,0.867,-0.52,0,0.4,3.54,43.42
375,2025-10-22T19:28:10.960Z,36.1406678,-86.7335157,550.3,18,-0.839,0.854,-0.543,0,0.33,3.32,47.05
376,2025-10-22T19:28:11.000Z,36.1406705,-86.733514,550.4,18.2,-0.827,0.832,-0.544,0,0.21,3.47,49.84
377,2025-10-22T19:28:11.040Z,36.1406733,-86.7335124,550.4,18.25,-0.791,0.819,-0.506,0,0.1,4.7,51.77
378,2025-10-22T19:28:11.080Z,36.1406759,-86.733511,550.4,18.14,-0.803,0.812,-0.474,0,-0.14,4.65,53.11
379,2025-10-22T19:28:11.120Z,36.1406787,-86.7335097,550.4,17.9,-0.866,0.8,-0.493,0,-0.41,4.44,53.94
380,2025-10-22T19:28:11.160Z,36.1406814,-86.7335087,550.5,17.66,-0.865,0.78,-0.494,0,-0.73,3.66,54.26
381,2025-10-22T19:28:11.200Z,36.1406841,-86.7335077,550.7,17.6,-0.872,0.745,-0.511,0,-0.99,2.65,54.21
382,2025-10-22T19:28:11.240Z,36.1406868,-86.7335068,550.7,17.69,-0.888,0.697,-0.562,0,-1.44,2.11,53.84
383,2025-10-22T19:28:11.280Z,36.1406897,-86.7335061,550.8,17.84,-0.826,0.638,-0.575,0,-1.95,2.45,52.96
384,2025-10-22T19:28:11.320Z,36.1406925,-86.7335052,550.8,17.92,-0.768,0.574,-0.573,0,-2.46,2.14,51.52
385,2025-10-22T19:28:11.360Z,36.1406953,-86.7335046,550.8,17.79,-0.774,0.495,-0.624,0,-2.93,1.82,49.4
386,2025-10-22T19:28:11.400Z,36.1406982,-86.733504,550.9,17.7,-0.775,0.42,-0.68,0,-3.03,1.85,46.54
387,2025-10-22T19:28:11.440Z,36.1407009,-86.7335034,551,17.71,-0.783,0.347,-0.728,0,-2.91,1.66,43.16
388,2025-10-22T19:28:11.480Z,36.1407037,-86.733503,551,17.79,-0.832,0.276,-0.775,0,-2.52,1.59,39.38
389,2025-10-22T19:28:11.520Z,36.1407067,-86.7335023,551.1,17.91,-0.812,0.197,-0.739,0,-2.08,2.56,35.46
390,2025-10-22T19:28:11.560Z,36.1407095,-86.7335019,551.1,17.94,-0.776,0.129,-0.674,0,-1.71,3.17,31.55
391,2025-10-22T19:28:11.600Z,36.1407124,-86.7335014,551.2,17.95,-0.78,0.034,-0.617,0,-1.74,3.32,27.48
392,2025-10-22T19:28:11.640Z,36.1407153,-86.7335009,551.2,18.09,-0.83,-0.084,-0.588,0,-1.54,2.61,22.69
393,2025-10-22T19:28:11.680Z,36.1407182,-86.7335003,551.2,18.19,-0.875,-0.204,-0.587,0,-1.46,1.61,17.31
394,2025-10-22T19:28:11.720Z,36.1407209,-86.7334995,551.3,18.13,-0.956,-0.326,-0.596,0,-1.58,0.26,10.78
